Wavelength (μm),Flux (Center Region),Error (Center Region),Flux (Ring Region),Error (Ring Region)
4.821956506903028,3366.828998706959,57.25604106957385,104.702094560788,14.55182240594391
4.822743700812302,3349.0620527856145,54.68219224976064,92.37661912706163,13.533043098309358
4.823530894721577,3370.7469516330293,50.791985582249836,95.38872754132306,11.880872693224303
4.824318088630851,3392.885701497396,49.469889429903155,102.71886952718098,11.657608117426914
4.825105282540125,3398.8135568124276,50.91292037281973,97.96694852099006,12.412768263840753
4.8258924764494,3386.2019065574364,55.11918465541955,98.55231692467207,13.799521208696117
4.826679670358674,3396.9474536283515,58.340807650326084,102.67404419698833,14.511318667527947
4.827466864267948,3407.4195944703656,55.98729693907938,102.80460998158397,13.397268672217054
4.828254058177222,3387.9532331301843,50.842015133538354,106.68390175148294,12.582271155468492
4.829041252086497,3369.268309039834,49.11766587127595,106.02773313169126,12.66791720932683
4.829828445995771,3367.774425365307,51.07373452808814,101.82032399118683,13.157380161260269
4.830615639905045,3386.536612805025,56.63938437725723,101.68155208634741,14.264886286380637
4.83140283381432,3398.0586973590616,59.24894371683577,96.06999300733025,13.842649313154165
4.832190027723594,3395.976946418668,55.579480572478545,99.02842618212287,12.999861561266936
4.832977221632868,3391.564442952474,51.2245345988216,94.22767582646122,12.394610699054404
4.8337644155421415,3384.0702981831114,49.766843390154136,101.56287261586131,12.783852336884307
4.834551609451416,3403.960642873505,51.81086171922998,107.53229927722319,14.080796456492621
4.83533880336069,3401.2720627019435,56.45819254513414,105.62840676013334,14.475616518843617
4.836125997269964,3415.2959493001304,59.75278755422722,107.66961368513697,13.41413562325846
4.836913191179239,3385.613892355083,55.741152224714206,103.20580442452136,12.295505021221222
4.837700385088513,3377.30630380136,51.43627227800578,104.13108354733313,11.953120510896094
4.838487578997787,3397.585590127074,50.31782803086287,105.06363489598404,12.523269328237983
4.8392747729070615,3397.6112361955056,51.15056723741933,105.10406541235653,13.83634854239743
4.840061966816336,3397.527732943311,56.494678074199534,100.53922413013599,14.277175601143353
4.84084916072561,3377.9021896550685,58.37256532744042,95.12961503017095,13.127904677504054
4.841636354634884,3368.082915506245,54.17489980791271,101.2543145638925,12.536462731999649
4.842423548544159,3355.7785286609037,50.51375032231336,103.54120089684004,12.495783753896468
4.843210742453433,3382.2808721094957,49.062689446413756,106.59141644136405,13.246784579517547
4.843997936362707,3394.2314848723236,50.95448684490511,98.37682088216145,13.64516428992042
4.8447851302719815,3401.4767199857733,57.11762577816601,95.65566084120009,13.553357772022181
4.845572324181255,3406.96060105312,59.32885456452857,103.3869169258777,12.500443341212117
4.846359518090529,3422.383274031274,55.010271263181984,96.16042676384066,11.925060943591701
4.8471467119998035,3417.2883086027923,51.113153394429155,102.2640761387201,12.500301364272094
4.847933905909078,3389.4151554814093,48.32393910951514,105.50238865981868,13.598831200808458
4.848721099818352,3378.6211630738812,49.79748813714349,98.70843929714627,14.541730075458325
4.849508293727626,3363.0968688211324,54.81480536178257,110.59141116672092,13.855395079671812
4.850295487636901,3375.551021999783,58.22813214679935,103.51118648199387,12.658573647813123
4.851082681546175,3409.3544831452546,55.68674594807197,102.6174014998071,11.90911957118824
4.851869875455449,3415.100763014805,51.482425682708744,104.88237884898244,12.399041741228654
4.8526570693647235,3426.106009024161,49.152764008278524,107.71578508541907,13.455544457119597
4.853444263273998,3431.188111481843,50.88232693163932,108.95507115493587,14.204878142724137
4.854231457183272,3415.173567030165,54.99098051264465,94.74989968759043,13.560262518440588
4.855018651092546,3405.386375144676,57.80503014765589,98.4139237580476,12.861568182873453
4.855805845001821,3385.568451681255,54.92563975475243,97.40914125795717,12.705742611174163
4.856593038911095,3390.289562460817,50.716614308820866,97.78803752381124,12.913900772015985
4.857380232820368,3385.075449625651,49.07190354499742,105.17235499252507,13.750251047486644
4.858167426729643,3397.8014808937355,50.83468356226276,98.92821681646653,13.714126005378763
4.858954620638917,3414.6371603129824,55.41311604100026,101.7690714141469,12.809141073503302
4.859741814548191,3415.083659607687,59.51584546016269,100.69979481638214,12.315129815417892
4.8605290084574655,3425.28909603166,56.86489939865627,94.60428765379352,12.295998235412249
4.86131620236674,3403.9521442931377,51.024267802806975,102.11882216842086,13.249316042843967
4.862103396276014,3403.498831289786,48.79265660106808,98.70081046775535,14.247855652615996
4.862890590185288,3383.8278665424864,49.22769553222349,102.96104195677204,14.198467851628141
4.863677784094563,3378.143852704837,53.44138472653014,101.55093289599006,13.236578461356725
4.864464978003837,3393.521211223838,59.01694861673976,92.34216110794632,12.306038494112014
4.865252171913111,3402.0919498396506,58.23211639369617,94.24287753634982,12.512663176593918
4.8660393658223855,3419.8923637484327,52.737583719014204,88.85733324215735,13.072409073801692
4.86682655973166,3417.501224093967,49.97313970346075,95.28532174192829,13.836924679992327
4.867613753640934,3421.17086452908,50.021435423401705,91.4030302071277,13.705627817440861
4.868400947550208,3412.859431890794,53.400130402733986,96.94586525434329,13.247048583538914
4.869188141459482,3394.1210089789497,58.757606495140635,98.63499931052878,13.039401809665065
4.869975335368756,3402.4435522762346,57.86262742269129,99.89483520131053,13.185723365881017
4.87076252927803,3398.4671672302998,52.45242380288639,104.11618371657383,13.590809406394763
4.871549723187305,3412.6330607849873,49.50283981448416,106.50235512815875,13.741936480069098
4.872336917096579,3414.4230629249855,49.55330409816909,98.40981160858531,13.247610357683108
4.873124111005853,3415.8977800534094,53.32415408016542,98.21250340968002,12.5010670414974
4.8739113049151275,3440.2305471161267,59.022872825189744,99.56455456769025,12.195653938996237
4.874698498824402,3432.441290207851,59.55477543678941,98.17871640052324,13.062440980990274
4.875485692733676,3417.148530183015,53.10697617399848,108.20597434338228,14.586633831112412
4.87627288664295,3397.9094799653985,48.95142177604483,94.01817288810824,13.98356866179968
4.877060080552225,3386.9159425335165,48.235499119448605,95.46881103515625,13.638186734358253
